,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
166,Dark_Ages_-_Night_23,[],"['Peasant Zombie', 'Tombstone', 'Tombstone', 'Tombstone']","['Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie']","['Peasant Zombie', 'Conehead Peasant', 'Conehead Peasant', 'Tombstone', 'Tombstone', 'Tombstone']","['Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Torchwood']","['Peasant Zombie', 'Conehead Peasant', 'Conehead Peasant', 'Conehead Peasant', 'Conehead Peasant']","['Peasant Zombie', 'Peasant Zombie', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone']","['Peasant Zombie', 'Peasant Zombie', 'Conehead Peasant', 'Buckethead Peasant', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone']","['Buckethead Peasant', 'Buckethead Peasant', 'Buckethead Peasant', 'Dark Ages Gargantuar', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Cherry Bomb', 'Chard Guard']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Dark_Ages_-_Night_24,[],"['Peasant Zombie', 'Peasant Zombie', 'Knight Zombie']","['Peasant Zombie', 'Peasant Zombie', 'Bandit Zombie', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone']","['Buckethead Peasant', 'Bandit Zombie', 'Imp Monk Zombie', 'Imp Monk Zombie', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone']","['Peasant Zombie', 'Peasant Zombie', 'Buckethead Peasant', 'Peasant Flag Zombie', 'Zombie King', 'Knight Zombie', 'Knight Zombie', 'Knight Zombie', 'Plant Food']","['Peasant Zombie', 'Peasant Zombie', 'Conehead Peasant', 'Conehead Peasant', 'Zombie King']","['Peasant Zombie', 'Knight Zombie', 'Knight Zombie', 'Jester Zombie', 'Bandit Zombie', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone']","['Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Towerhead Zombie', 'Jester Zombie', 'Jester Zombie', 'Imp Monk Zombie', 'Imp Monk Zombie', 'Imp Monk Zombie', 'Imp Monk Zombie']","['Towerhead Zombie', 'Towerhead Zombie', 'Jester Zombie', 'Jester Zombie', 'Jester Zombie', 'Jester Zombie', 'Peasant Rally Zombie']","['Knight Zombie', 'Knight Zombie', 'Knight Zombie', 'Knight Zombie', 'Bandit Zombie', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Plant Food']","['Conehead Peasant', 'Conehead Peasant', 'Conehead Peasant', 'Buckethead Peasant', 'Buckethead Peasant', 'Towerhead Zombie', 'Zombie King', 'Zombie King', 'Zombie King', 'Zombie King', 'Bandit Zombie', 'Towerhead Zombie']","['Conehead Peasant', 'Conehead Peasant', 'Towerhead Zombie', 'Towerhead Zombie', 'Knight Zombie', 'Knight Zombie', 'Knight Zombie', 'Knight Zombie', 'Knight Zombie', 'Knight Zombie', 'Jester Zombie', 'Jester Zombie', 'Jester Zombie', 'Jester Zombie', 'Jester Zombie', 'Plant Food']","['Conehead Peasant', 'Conehead Peasant', 'Conehead Peasant', 'Conehead Peasant', 'Towerhead Zombie', 'Towerhead Zombie', 'Towerhead Zombie', 'Peasant Rally Zombie', 'Jester Zombie', 'Jester Zombie', 'Jester Zombie', 'Jester Zombie', 'Zombie King', 'Zombie King', 'Zombie King', 'Zombie King', 'Zombie King', 'Zombie King', 'Zombie King', 'Bandit Zombie', 'Bandit Zombie', 'Knight Zombie', 'Knight Zombie', 'Knight Zombie', 'Imp Monk Zombie', 'Imp Monk Zombie', 'Imp Monk Zombie', 'Imp Monk Zombie', 'Jester Zombie', 'Jester Zombie', 'Jester Zombie', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Dark_Ages_-_Night_25,[],"['Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie']","['Conehead Peasant', 'Conehead Peasant', 'Conehead Peasant']","['Imp Monk Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Cherry Bomb', 'Fume-shroom', 'Hurrikale', 'Primal Wall-nut']","['Knight Zombie', 'Knight Zombie', 'Tombstone', 'Tombstone', 'Tombstone']","['Buckethead Peasant', 'Knight Zombie', 'Knight Zombie', 'Peasant Rally Zombie', 'Jester Zombie', 'Wizard Zombie', 'Buckethead Peasant', 'Imp Monk Zombie']","['Conehead Peasant', 'Conehead Peasant', 'Knight Zombie', 'Jester Zombie', 'Jester Zombie', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone']","['Knight Zombie', 'Knight Zombie', 'Knight Zombie', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone']","['Zombie King', 'Conehead Peasant', 'Buckethead Peasant', 'Buckethead Peasant', 'Jester Zombie', 'Plant Food']","['Conehead Peasant', 'Conehead Peasant', 'Conehead Peasant', 'Conehead Peasant', 'Conehead Peasant', 'Conehead Peasant', 'Conehead Peasant', 'Conehead Peasant', 'Conehead Peasant', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Citron']","['Peasant Rally Zombie', 'Jester Zombie', 'Jester Zombie', 'Dark Ages Gargantuar', 'Dark Ages Gargantuar', 'Knight Zombie', 'Knight Zombie']","['Imp Monk Zombie', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone']","['Buckethead Peasant', 'Buckethead Peasant', 'Zombie King', 'Imp Monk Zombie', 'Wizard Zombie']","['Jester Zombie', 'Jester Zombie', 'Jester Zombie', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Plant Food']","['Knight Zombie', 'Knight Zombie', 'Imp Monk Zombie', 'Imp Monk Zombie', 'Conehead Peasant', 'Buckethead Peasant', 'Buckethead Peasant', 'Jester Zombie']","['Peasant Rally Zombie', 'Dark Ages Gargantuar', 'Dark Ages Gargantuar', 'Dark Ages Gargantuar', 'Knight Zombie', 'Imp Monk Zombie', 'Imp Monk Zombie', 'Imp Monk Zombie', 'Imp Monk Zombie', 'Imp Monk Zombie', 'Imp Monk Zombie', 'Bonk Choy', 'Fume-shroom']","['Conehead Peasant', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Plant Food']","['Knight Zombie', 'Knight Zombie', 'Knight Zombie', 'Imp Monk Zombie', 'Imp Monk Zombie', 'Imp Monk Zombie', 'Imp Monk Zombie', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Spikerock', 'Phat Beet']","['Zombie King', 'Conehead Peasant', 'Conehead Peasant', 'Buckethead Peasant', 'Buckethead Peasant', 'Buckethead Peasant', 'Buckethead Peasant', 'Jester Zombie', 'Jester Zombie']","['Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone']","['Peasant Rally Zombie', 'Dark Ages Gargantuar', 'Dark Ages Gargantuar', 'Conehead Peasant', 'Buckethead Peasant', 'Buckethead Peasant', 'Knight Zombie', 'Imp Monk Zombie', 'Imp Monk Zombie', 'Imp Monk Zombie', 'Imp Monk Zombie', 'Imp Monk Zombie', 'Imp Monk Zombie', 'Imp Monk Zombie', 'Jester Zombie', 'Wizard Zombie']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Dark_Ages_-_Night_26,[],['Bandit Zombie'],['Bandit Zombie'],"['Peasant Zombie', 'Peasant Zombie']","['Dark Summoner Zombie', 'Tombstone']",['Peasant Zombie'],"['Peasant Zombie', 'Conehead Peasant', 'Knight Zombie', 'Knight Zombie', 'Peasant Rally Zombie', 'Bandit Zombie', 'Bandit Zombie', 'Bandit Zombie', 'Tombstone']","['Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Conehead Peasant', 'Tombstone', 'Plant Food']","['Peasant Zombie', 'Peasant Zombie', 'Bandit Zombie', 'Dark Summoner Zombie', 'Tombstone', 'Tombstone']","['Buckethead Peasant', 'Dark Summoner Zombie', 'Tombstone']","['Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Zombie King', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Tombstone', 'Tombstone']","['Knight Zombie', 'Dark Summoner Zombie', 'Dark Summoner Zombie', 'Bandit Zombie', 'Tombstone', 'Tombstone']","['Peasant Rally Zombie', 'Dark Summoner Zombie', 'Dark Summoner Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie']","['Conehead Peasant', 'Conehead Peasant', 'Buckethead Peasant', 'Towerhead Zombie', 'Dark Summoner Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Tombstone', 'Tombstone']","['Peasant Zombie', 'Dark Summoner Zombie', 'Dark Summoner Zombie', 'Dark Summoner Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Tombstone']","['Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Zombie King', 'Bandit Zombie', 'Bandit Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Tombstone', 'Tombstone', 'Plant Food']","['Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Dark Summoner Zombie', 'Dark Summoner Zombie', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone']","['Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Dark Summoner Zombie', 'Zombie King', 'Zombie King', 'Zombie King', 'Bandit Zombie', 'Bandit Zombie', 'Bandit Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Tombstone', 'Tombstone', 'Tombstone', 'Plant Food']","['Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Conehead Peasant', 'Knight Zombie', 'Towerhead Zombie', 'Peasant Rally Zombie', 'Dark Summoner Zombie', 'Dark Summoner Zombie', 'Dark Summoner Zombie', 'Dark Summoner Zombie', 'Dark Summoner Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Dark_Ages_-_Night_27,[],"['Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie']","['Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie']",['Jester Zombie'],"['Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Wizard Zombie', 'Wizard Zombie', 'Wizard Zombie']","['Buckethead Peasant', 'Buckethead Peasant', 'Buckethead Peasant', 'Buckethead Peasant', 'Buckethead Peasant', 'Bandit Zombie', 'Bandit Zombie', 'Tombstone', 'Tombstone']","['Peasant Zombie', 'Conehead Peasant', 'Peasant Flag Zombie', 'Dark Summoner Zombie', 'Dark Summoner Zombie', 'Bandit Zombie']","['Peasant Zombie', 'Buckethead Peasant', 'Wizard Zombie', 'Tombstone', 'Tombstone', 'Plant Food']","['Peasant Zombie', 'Peasant Zombie', 'Buckethead Peasant', 'Wizard Zombie', 'Wizard Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Conehead Peasant', 'Conehead Peasant']","['Towerhead Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Imp Monk Zombie', 'Imp Monk Zombie', 'Wizard Zombie', 'Tombstone', 'Tombstone']","['Peasant Zombie', 'Peasant Zombie', 'Knight Zombie', 'Jester Zombie', 'Jester Zombie', 'Conehead Peasant', 'Conehead Peasant', 'Conehead Peasant', 'Jester Zombie', 'Tombstone', 'Tombstone', 'Plant Food']","['Conehead Peasant', 'Conehead Peasant', 'Dark Summoner Zombie', 'Dark Summoner Zombie', 'Dark Summoner Zombie', 'Dark Summoner Zombie', 'Imp Monk Zombie', 'Imp Monk Zombie', 'Imp Monk Zombie', 'Imp Monk Zombie', 'Tombstone', 'Tombstone']","['Buckethead Peasant', 'Buckethead Peasant', 'Peasant Rally Zombie', 'Jester Zombie', 'Jester Zombie', 'Wizard Zombie', 'Wizard Zombie', 'Wizard Zombie', 'Conehead Peasant', 'Conehead Peasant', 'Conehead Peasant', 'Jester Zombie']","['Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Towerhead Zombie', 'Wizard Zombie', 'Dark Summoner Zombie', 'Dark Summoner Zombie', 'Bandit Zombie', 'Bandit Zombie', 'Bandit Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Conehead Peasant', 'Conehead Peasant', 'Tombstone', 'Tombstone', 'Plant Food']","['Peasant Zombie', 'Buckethead Peasant', 'Wizard Zombie', 'Wizard Zombie', 'Dark Summoner Zombie', 'Dark Summoner Zombie', 'Bandit Zombie', 'Peasant Zombie', 'Towerhead Zombie', 'Wizard Zombie', 'Tombstone', 'Tombstone']","['Peasant Zombie', 'Peasant Zombie', 'Knight Zombie', 'Wizard Zombie', 'Wizard Zombie', 'Wizard Zombie', 'Wizard Zombie', 'Wizard Zombie', 'Wizard Zombie', 'Dark Summoner Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Imp Monk Zombie', 'Imp Monk Zombie', 'Imp Monk Zombie', 'Imp Monk Zombie', 'Imp Monk Zombie', 'Imp Monk Zombie', 'Wizard Zombie', 'Wizard Zombie', 'Tombstone', 'Tombstone']","['Jester Zombie', 'Jester Zombie', 'Wizard Zombie', 'Wizard Zombie', 'Wizard Zombie', 'Wizard Zombie', 'Dark Summoner Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Conehead Peasant', 'Conehead Peasant', 'Towerhead Zombie', 'Towerhead Zombie', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Plant Food']","['Imp Monk Zombie', 'Imp Monk Zombie', 'Imp Monk Zombie', 'Imp Monk Zombie', 'Imp Monk Zombie', 'Bandit Zombie', 'Bandit Zombie', 'Towerhead Zombie', 'Towerhead Zombie']","['Conehead Peasant', 'Buckethead Peasant', 'Knight Zombie', 'Peasant Rally Zombie', 'Jester Zombie', 'Dark Summoner Zombie', 'Dark Summoner Zombie', 'Dark Summoner Zombie', 'Dark Summoner Zombie', 'Dark Summoner Zombie', 'Dark Summoner Zombie', 'Conehead Peasant', 'Conehead Peasant', 'Conehead Peasant', 'Conehead Peasant', 'Buckethead Peasant', 'Buckethead Peasant', 'Knight Zombie', 'Knight Zombie', 'Knight Zombie', 'Imp Monk Zombie', 'Imp Monk Zombie', 'Imp Monk Zombie', 'Imp Monk Zombie', 'Jester Zombie', 'Wizard Zombie', 'Tombstone', 'Tombstone']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Dark_Ages_-_Night_28,[],"['Bandit Zombie', 'Bandit Zombie']","['Bandit Zombie', 'Bandit Zombie', 'Bandit Zombie', 'Plant Food']","['Imp Monk Zombie', 'Bandit Zombie', 'Bandit Zombie', 'Bandit Zombie', 'Plant Food']","['Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Imp Monk Zombie', 'Tombstone', 'Tombstone', 'Tombstone']",['Dark Summoner Zombie'],"['Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Zombie King', 'Zombie King', 'Tombstone', 'Tombstone', 'Tombstone']","['Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Knight Zombie', 'Dark Summoner Zombie', 'Dark Summoner Zombie', 'Zombie King', 'Plant Food']","['Peasant Zombie', 'Peasant Zombie', 'Peasant Flag Zombie', 'Dark Ages Gargantuar', 'Wizard Zombie', 'Zombie King', 'Bandit Zombie', 'Bandit Zombie', 'Bandit Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Tombstone', 'Tombstone']","['Knight Zombie', 'Knight Zombie', 'Dark Summoner Zombie', 'Dark Summoner Zombie']","['Imp Monk Zombie', 'Imp Monk Zombie', 'Imp Monk Zombie', 'Imp Monk Zombie', 'Imp Monk Zombie', 'Zombie King', 'Zombie King', 'Imp Monk Zombie', 'Imp Monk Zombie', 'Imp Monk Zombie', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone']","['Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Towerhead Zombie', 'Towerhead Zombie', 'Dark Summoner Zombie', 'Bandit Zombie', 'Bandit Zombie']","['Peasant Zombie', 'Peasant Zombie', 'Towerhead Zombie', 'Towerhead Zombie', 'Dark Summoner Zombie', 'Dark Summoner Zombie', 'Zombie King', 'Plant Food']","['Knight Zombie', 'Knight Zombie', 'Knight Zombie', 'Towerhead Zombie', 'Towerhead Zombie', 'Towerhead Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone']","['Wizard Zombie', 'Dark Summoner Zombie', 'Dark Summoner Zombie', 'Dark Summoner Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie']","['Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Zombie King', 'Bandit Zombie', 'Bandit Zombie', 'Plant Food']","['Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Flag Zombie', 'Dark Ages Gargantuar', 'Dark Ages Gargantuar', 'Dark Summoner Zombie', 'Dark Summoner Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Imp Monk Zombie', 'Imp Monk Zombie', 'Imp Monk Zombie', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Dark_Ages_-_Night_29,[],['Peasant Zombie'],"['Peasant Zombie', 'Tombstone', 'Tombstone']","['Peasant Zombie', 'Tombstone', 'Tombstone']","['Peasant Zombie', 'Tombstone']","['Peasant Zombie', 'Wizard Zombie', 'Peasant Zombie', 'Tombstone', 'Plant Food']","['Bandit Zombie', 'Peasant Zombie', 'Tombstone', 'Tombstone', 'Tombstone']","['Buckethead Peasant', 'Conehead Peasant', 'Tombstone', 'Tombstone']","['Buckethead Peasant', 'Bandit Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Tombstone', 'Tombstone', 'Tombstone']","['Peasant Zombie', 'Peasant Zombie', 'Bandit Zombie', 'Bandit Zombie', 'Conehead Peasant', 'Conehead Peasant', 'Tombstone', 'Tombstone']","['Peasant Zombie', 'Bandit Zombie', 'Peasant Zombie', 'Conehead Peasant', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone']","['Conehead Peasant', 'Knight Zombie', 'Buckethead Peasant', 'Imp Monk Zombie', 'Imp Monk Zombie', 'Tombstone', 'Tombstone', 'Tombstone']","['Buckethead Peasant', 'Conehead Peasant', 'Jester Zombie', 'Jester Zombie', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone']","['Peasant Zombie', 'Buckethead Peasant', 'Knight Zombie', 'Peasant Rally Zombie', 'Wizard Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Buckethead Peasant', 'Tombstone', 'Tombstone', 'Plant Food']","['Conehead Peasant', 'Knight Zombie', 'Dark Summoner Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Conehead Peasant', 'Knight Zombie', 'Tombstone', 'Tombstone']","['Peasant Zombie', 'Conehead Peasant', 'Jester Zombie', 'Jester Zombie', 'Bandit Zombie', 'Peasant Zombie', 'Conehead Peasant', 'Tombstone', 'Tombstone', 'Tombstone']","['Peasant Zombie', 'Peasant Zombie', 'Dark Summoner Zombie', 'Knight Zombie', 'Imp Monk Zombie', 'Tombstone', 'Tombstone']","['Knight Zombie', 'Bandit Zombie', 'Bandit Zombie', 'Bandit Zombie', 'Peasant Zombie', 'Wizard Zombie', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone', 'Tombstone']","['Peasant Zombie', 'Buckethead Peasant', 'Buckethead Peasant', 'Knight Zombie', 'Tombstone', 'Tombstone']","['Wizard Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Tombstone', 'Tombstone', 'Plant Food']","['Jester Zombie', 'Jester Zombie', 'Zombie King', 'Knight Zombie', 'Imp Monk Zombie', 'Imp Monk Zombie', 'Tombstone', 'Tombstone']","['Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Conehead Peasant', 'Conehead Peasant', 'Zombie King', 'Bandit Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Tombstone', 'Tombstone', 'Tombstone']","['Towerhead Zombie', 'Wizard Zombie', 'Wizard Zombie', 'Conehead Peasant', 'Buckethead Peasant', 'Tombstone', 'Tombstone', 'Plant Food', 'Plant Food']","['Buckethead Peasant', 'Dark Summoner Zombie', 'Buckethead Peasant', 'Jester Zombie', 'Tombstone', 'Tombstone', 'Tombstone']","['Buckethead Peasant', 'Buckethead Peasant', 'Buckethead Peasant', 'Buckethead Peasant', 'Peasant Zombie', 'Towerhead Zombie', 'Tombstone', 'Tombstone']","['Knight Zombie', 'Jester Zombie', 'Jester Zombie', 'Jester Zombie', 'Jester Zombie', 'Tombstone', 'Tombstone', 'Tombstone']","['Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Peasant Zombie', 'Conehead Peasant', 'Conehead Peasant', 'Towerhead Zombie', 'Towerhead Zombie', 'Towerhead Zombie', 'Peasant Rally Zombie', 'Dark Summoner Zombie', 'Zombie King', 'Towerhead Zombie', 'Dark Ages Gargantuar', 'Tombstone', 'Tombstone']",,,,,,,,,,,,,,,,,,,,,,,,
173,boss level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Big_Wave_Beach_-_Day_1,[],['Pompadour Zombie'],"['Pompadour Zombie', 'Pompadour Zombie']","['Pompadour Zombie', 'Pompadour Conehead', 'Plant Food']","['Pompadour Zombie', 'Pompadour Conehead', 'Pompadour Conehead']","['Pompadour Zombie', 'Pompadour Zombie', 'Pompadour Conehead', 'Pompadour Conehead', 'Plant Food']","['Pompadour Conehead', 'Pompadour Conehead', 'Pompadour Buckethead']","['Pompadour Zombie', 'Pompadour Zombie', 'Pompadour Zombie', 'Pompadour Conehead', 'Pompadour Conehead']","['Pompadour Conehead', 'Pompadour Conehead', 'Pompadour Buckethead', 'Plant Food']","['Pompadour Zombie', 'Pompadour Zombie', 'Pompadour Zombie', 'Pompadour Conehead']","['Pompadour Zombie', 'Pompadour Conehead', 'Pompadour Conehead', 'Pompadour Buckethead']","['Pompadour Conehead', 'Pompadour Conehead', 'Pompadour Conehead', 'Pompadour Buckethead', 'Plant Food']","['Pompadour Conehead', 'Pompadour Conehead', 'Pompadour Conehead', 'Pompadour Conehead', 'Pompadour Conehead', 'Pompadour Conehead', 'Pompadour Buckethead', 'Pompadour Buckethead', 'Pompadour Buckethead', 'Beach Flag Zombie']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Big_Wave_Beach_-_Day_2,[],['Pompadour Zombie'],"['Pompadour Zombie', 'Pompadour Zombie']","['Pompadour Zombie', 'Pompadour Conehead']","['Pompadour Zombie', 'Pompadour Zombie', 'Bikini Conehead', 'Plant Food']","['Beach Flag Zombie', 'Bikini Zombie', 'Bikini Zombie', 'Bikini Zombie', 'Bikini Conehead', 'Bikini Conehead', 'Bikini Conehead']","['Pompadour Zombie', 'Bikini Zombie', 'Bikini Buckethead']","['Pompadour Zombie', 'Bikini Conehead', 'Bikini Buckethead', 'Plant Food']","['Pompadour Buckethead', 'Bikini Zombie', 'Bikini Conehead']","['Pompadour Conehead', 'Pompadour Buckethead', 'Bikini Zombie', 'Bikini Conehead']","['Pompadour Zombie', 'Pompadour Conehead', 'Pompadour Buckethead', 'Pompadour Buckethead', 'Beach Flag Zombie', 'Bikini Conehead', 'Bikini Conehead', 'Bikini Conehead', 'Bikini Buckethead']","['Pompadour Zombie', 'Pompadour Conehead', 'Bikini Zombie', 'Bikini Buckethead', 'Plant Food']","['Pompadour Zombie', 'Pompadour Conehead', 'Pompadour Buckethead', 'Bikini Conehead', 'Bikini Buckethead']","['Bikini Zombie', 'Bikini Zombie', 'Bikini Zombie', 'Bikini Zombie', 'Bikini Conehead', 'Bikini Buckethead']","['Pompadour Zombie', 'Pompadour Zombie', 'Pompadour Zombie', 'Pompadour Zombie', 'Pompadour Conehead', 'Pompadour Buckethead', 'Plant Food']","['Pompadour Zombie', 'Pompadour Buckethead', 'Pompadour Buckethead', 'Pompadour Buckethead', 'Beach Flag Zombie', 'Bikini Zombie', 'Bikini Conehead', 'Bikini Conehead', 'Bikini Conehead', 'Bikini Buckethead', 'Bikini Buckethead', 'Bikini Buckethead']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
